,country,year,life_exp,population,pm
84,ARE,1998,73.066,2921130.0,14.92
85,ARE,1999,73.67,3097563.0,13.69
86,ARE,2000,74.38,3275333.0,17.379999
87,ARE,2001,74.636,3454198.0,15.23
88,ARE,2002,74.901,3633655.0,16.48
89,ARE,2003,76.222,3813443.0,13.65
90,ARE,2004,76.453,3993339.0,13.01
91,ARE,2005,76.683,4280993.0,14.24
92,ARE,2006,76.909,4898954.0,18.15
93,ARE,2007,77.129,5872624.0,15.87
94,ARE,2008,77.488,6988685.0,18.42
95,ARE,2009,78.003,7992644.0,19.08
96,ARE,2010,78.334,8481771.0,18.540001
97,ARE,2011,78.517,8575205.0,18.18
98,ARE,2012,78.716,8664969.0,21.030001
99,ARE,2013,78.853,8751847.0,18.860001
100,ARE,2014,79.044,8835951.0,18.6
101,ARE,2015,79.223,8916899.0,17.4
102,ARE,2016,79.335,8994263.0,18.68
103,ARE,2017,79.504,9068296.0,18.08
104,ARE,2018,79.627,9140169.0,18.139999
