,country,year,life_exp,population,pm
105,ARG,1998,73.474,36233195.0,10.51
106,ARG,1999,73.722,36653031.0,11.56
107,ARG,2000,73.926,37070774.0,11.18
108,ARG,2001,74.186,37480493.0,10.98
109,ARG,2002,74.408,37885028.0,11.34
110,ARG,2003,74.08,38278164.0,11.36
111,ARG,2004,74.855,38668796.0,10.9
112,ARG,2005,75.139,39070501.0,10.14
113,ARG,2006,75.433,39476851.0,11.2
114,ARG,2007,75.006,39876111.0,11.6
115,ARG,2008,75.641,40273769.0,11.54
116,ARG,2009,75.936,40684338.0,10.04
117,ARG,2010,75.721,40788453.0,9.4300003
118,ARG,2011,76.124,41261490.0,10.27
119,ARG,2012,76.467,41733271.0,10.26
120,ARG,2013,76.491,42202935.0,10.27
121,ARG,2014,76.755,42669500.0,10.46
122,ARG,2015,76.76,43131966.0,10.14
123,ARG,2016,76.308,43590368.0,10.26
124,ARG,2017,76.833,44044811.0,9.9300003
125,ARG,2018,76.999,44494502.0,9.7600002
