,year,life_exp,population,pm
628,1998,78.6341463414634,30155173.0,8.8800001
629,1999,78.8853658536585,30401286.0,7.9899998
630,2000,79.1365853658537,30685730.0,7.8400002
631,2001,79.3390243902439,31020902.0,7.96
632,2002,79.490243902439,31360079.0,8.0600004
633,2003,79.7414634146342,31644028.0,8.3500004
634,2004,79.8926829268293,31940655.0,7.8600001
635,2005,80.1926829268293,32243753.0,8.5600004
636,2006,80.3439024390244,32571174.0,7.54
637,2007,80.5439024390244,32889025.0,7.3200002
638,2008,80.6951219512195,33247118.0,7.2399998
639,2009,80.9951219512195,33628895.0,6.7800002
640,2010,81.2463414634146,34004889.0,6.5900002
641,2011,81.4487804878049,34339328.0,6.8800001
642,2012,81.6487804878049,34714222.0,6.4400001
643,2013,81.7487804878049,35082954.0,6.73
644,2014,81.8,35437435.0,6.9000001
645,2015,81.9,35702908.0,6.8899999
646,2016,81.9,36109487.0,5.6900001
647,2017,81.9,36545236.0,6.3600001
648,2018,82.0487804878049,37065084.0,6.1900001
