,country,year,life_exp,population,pm
670,CHL,1998,75.669,14996742.0,13.05
671,CHL,1999,76.018,15176410.0,14.74
672,CHL,2000,76.87,15351799.0,13.78
673,CHL,2001,76.773,15523978.0,14.02
674,CHL,2002,77.445,15693790.0,13.61
675,CHL,2003,77.387,15859112.0,13.61
676,CHL,2004,77.616,16017966.0,14.33
677,CHL,2005,78.016,16175311.0,13.77
678,CHL,2006,78.261,16334575.0,14.24
679,CHL,2007,77.826,16495538.0,15.11
680,CHL,2008,78.484,16661462.0,15.91
681,CHL,2009,78.741,16833447.0,14.42
682,CHL,2010,78.501,17004162.0,14.7
683,CHL,2011,79.11,17173573.0,16.01
684,CHL,2012,79.023,17341771.0,15.01
685,CHL,2013,79.339,17509925.0,15.32
686,CHL,2014,79.473,17687108.0,15.76
687,CHL,2015,79.746,17870124.0,16.559999
688,CHL,2016,80.079,18083879.0,18.01
689,CHL,2017,80.35,18368577.0,16.91
690,CHL,2018,80.133,18701450.0,15.32
