,year,life_exp,population,pm
775,1998,70.738,37944414.0,10.64
776,1999,70.926,38585033.0,9.0900002
777,2000,71.32,39215135.0,11.96
778,2001,71.502,39837875.0,15.61
779,2002,71.939,40454050.0,14.4
780,2003,72.361,41057687.0,16.290001
781,2004,72.695,41648268.0,14.56
782,2005,73.081,42220940.0,14.94
783,2006,73.468,42772910.0,14.6
784,2007,73.837,43306582.0,14.7
785,2008,74.295,43815313.0,14.11
786,2009,74.742,44313917.0,14.57
787,2010,75.033,44816108.0,16.26
788,2011,75.32,45308899.0,15.49
789,2012,75.597,45782417.0,15.57
790,2013,75.827,46237930.0,15.23
791,2014,76.043,46677947.0,15.8
792,2015,76.257,47119728.0,15.1
793,2016,76.471,47625955.0,15.58
794,2017,76.646,48351671.0,15.01
795,2018,76.748,49276961.0,14.16
