,year,life_exp,population,pm
838,1998,76.896,3821421.0,10.78
839,1999,77.138,3901430.0,8.25
840,2000,77.586,3979193.0,8.1899996
841,2001,77.545,4053222.0,9.4499998
842,2002,77.983,4122623.0,8.4799995
843,2003,78.072,4188610.0,10.58
844,2004,78.331,4252800.0,9.1999998
845,2005,78.505,4315887.0,11.15
846,2006,78.514,4378172.0,10.71
847,2007,78.462,4440019.0,11.24
848,2008,78.445,4501921.0,10.89
849,2009,78.672,4563127.0,10.54
850,2010,78.67,4622252.0,13.26
851,2011,79.348,4679926.0,12.43
852,2012,79.283,4736593.0,11.1
853,2013,79.403,4791535.0,11.34
854,2014,78.774,4844288.0,10.62
855,2015,79.086,4895242.0,10.11
856,2016,79.459,4945205.0,11.4
857,2017,79.377,4993842.0,11.88
858,2018,79.484,5040734.0,10.03
