,country,year,life_exp,population,pm
934,DEU,1998,77.4756097560976,82047195.0,14.94
935,DEU,1999,77.7268292682927,82100243.0,14.15
936,DEU,2000,77.9268292682927,82211508.0,13.27
937,DEU,2001,78.3292682926829,82349925.0,13.32
938,DEU,2002,78.2292682926829,82488495.0,13.77
939,DEU,2003,78.3804878048781,82534176.0,14.86
940,DEU,2004,78.6804878048781,82516260.0,13.36
941,DEU,2005,78.9317073170732,82469422.0,13.52
942,DEU,2006,79.1317073170732,82376451.0,13.82
943,DEU,2007,79.5341463414634,82266372.0,11.94
944,DEU,2008,79.7365853658537,82110097.0,12.21
945,DEU,2009,79.8365853658537,81902307.0,13.47
946,DEU,2010,79.9878048780488,81776930.0,14.47
947,DEU,2011,80.4365853658537,80274983.0,13.79
948,DEU,2012,80.5390243902439,80425823.0,11.28
949,DEU,2013,80.490243902439,80645605.0,12.26
950,DEU,2014,81.090243902439,80982500.0,11.84
951,DEU,2015,80.6414634146341,81686611.0,10.67
952,DEU,2016,80.990243902439,82348669.0,10.59
953,DEU,2017,80.9926829268293,82657002.0,10.57
954,DEU,2018,80.8926829268293,82905782.0,10.83
