year,life_exp,population,pm
1998,77.4756097560976,82047195.0,14.94
1999,77.7268292682927,82100243.0,14.15
2000,77.9268292682927,82211508.0,13.27
2001,78.3292682926829,82349925.0,13.32
2002,78.2292682926829,82488495.0,13.77
2003,78.3804878048781,82534176.0,14.86
2004,78.6804878048781,82516260.0,13.36
2005,78.9317073170732,82469422.0,13.52
2006,79.1317073170732,82376451.0,13.82
2007,79.5341463414634,82266372.0,11.94
2008,79.7365853658537,82110097.0,12.21
2009,79.8365853658537,81902307.0,13.47
2010,79.9878048780488,81776930.0,14.47
2011,80.4365853658537,80274983.0,13.79
2012,80.5390243902439,80425823.0,11.28
2013,80.490243902439,80645605.0,12.26
2014,81.090243902439,80982500.0,11.84
2015,80.6414634146341,81686611.0,10.67
2016,80.990243902439,82348669.0,10.59
2017,80.9926829268293,82657002.0,10.57
2018,80.8926829268293,82905782.0,10.83
