,year,life_exp,population,pm
977,1998,76.1390243902439,5304219.0,11.51
978,1999,76.3414634146341,5321799.0,11.48
979,2000,76.5926829268293,5339616.0,11.44
980,2001,76.7926829268293,5358783.0,10.23
981,2002,76.8951219512195,5375931.0,10.78
982,2003,77.1439024390244,5390574.0,12.25
983,2004,77.4926829268293,5404523.0,8.8500004
984,2005,77.8439024390244,5419432.0,9.25
985,2006,78.0951219512195,5437272.0,10.0
986,2007,78.1951219512195,5461438.0,8.8500004
987,2008,78.4463414634146,5493621.0,8.5100002
988,2009,78.5975609756098,5523095.0,9.6999998
989,2010,79.1,5547683.0,10.11
990,2011,79.8,5570572.0,11.31
991,2012,80.0512195121951,5591572.0,8.1400003
992,2013,80.3,5614932.0,7.8400002
993,2014,80.7,5643475.0,9.54
994,2015,80.7024390243902,5683483.0,7.8000002
995,2016,80.8536585365854,5728010.0,7.3099999
996,2017,81.1024390243903,5764980.0,7.1100001
997,2018,80.9536585365854,5793636.0,8.6499996
