,country,year,life_exp,population,pm
1019,DZA,1998,69.451,29924668.0,6.1500001
1020,DZA,1999,70.032,30346083.0,5.52
1021,DZA,2000,70.478,30774621.0,5.9200001
1022,DZA,2001,70.823,31200985.0,5.9699998
1023,DZA,2002,71.23,31624696.0,5.9699998
1024,DZA,2003,71.287,32055883.0,7.27
1025,DZA,2004,71.762,32510186.0,5.3400002
1026,DZA,2005,72.061,32956690.0,6.6999998
1027,DZA,2006,72.334,33435080.0,6.7199998
1028,DZA,2007,72.602,33983827.0,6.52
1029,DZA,2008,72.941,34569592.0,5.4899998
1030,DZA,2009,73.62,35196037.0,6.23
1031,DZA,2010,73.808,35856344.0,5.2199998
1032,DZA,2011,74.123,36543541.0,6.5500002
1033,DZA,2012,74.202,37260563.0,6.5100002
1034,DZA,2013,74.615,38000626.0,6.1300001
1035,DZA,2014,75.11,38760168.0,5.0500002
1036,DZA,2015,75.622,39543154.0,6.5700002
1037,DZA,2016,75.732,40339329.0,5.29
1038,DZA,2017,75.743,41136546.0,6.21
1039,DZA,2018,76.066,41927007.0,5.6999998
