,country,year,life_exp,population,pm
1334,GHA,1998,57.6,18714708.0,12.1
1335,GHA,1999,58.03,19176791.0,11.54
1336,GHA,2000,58.195,19665502.0,14.93
1337,GHA,2001,58.107,20195577.0,15.01
1338,GHA,2002,58.608,20758326.0,14.12
1339,GHA,2003,59.111,21329514.0,14.97
1340,GHA,2004,59.191,21906444.0,15.16
1341,GHA,2005,59.76,22496951.0,15.48
1342,GHA,2006,59.988,23098586.0,14.49
1343,GHA,2007,60.224,23708320.0,14.8
1344,GHA,2008,60.49,24326087.0,15.66
1345,GHA,2009,60.946,24950762.0,14.98
1346,GHA,2010,61.157,25574719.0,14.88
1347,GHA,2011,61.652,26205941.0,14.71
1348,GHA,2012,62.081,26858762.0,12.59
1349,GHA,2013,62.42,27525597.0,11.93
1350,GHA,2014,63.045,28196358.0,12.15
1351,GHA,2015,63.175,28870939.0,12.81
1352,GHA,2016,63.89,29554303.0,13.45
1353,GHA,2017,64.013,30222262.0,13.26
1354,GHA,2018,64.122,30870641.0,13.07
