,country,year,life_exp,population,pm
1397,GMB,1998,56.554,1356189.0,6.6799998
1398,GMB,1999,56.816,1396499.0,7.0500002
1399,GMB,2000,56.942,1437539.0,6.5700002
1400,GMB,2001,57.043,1479449.0,5.4499998
1401,GMB,2002,57.08,1522223.0,4.96
1402,GMB,2003,57.586,1566257.0,5.75
1403,GMB,2004,58.088,1612225.0,5.4099998
1404,GMB,2005,58.394,1660368.0,5.8600001
1405,GMB,2006,59.06,1711294.0,6.3200002
1406,GMB,2007,59.394,1764883.0,5.8899999
1407,GMB,2008,60.082,1820542.0,6.1100001
1408,GMB,2009,60.427,1878119.0,6.77
1409,GMB,2010,60.717,1937275.0,6.9899998
1410,GMB,2011,61.526,1998212.0,6.1100001
1411,GMB,2012,62.096,2061014.0,6.3600001
1412,GMB,2013,62.114,2124869.0,6.1700001
1413,GMB,2014,62.269,2189019.0,6.1900001
1414,GMB,2015,62.494,2253133.0,6.6799998
1415,GMB,2016,63.013,2317206.0,5.9000001
1416,GMB,2017,62.995,2381182.0,6.1799998
1417,GMB,2018,63.04,2444916.0,5.5100002
