,year,life_exp,population,pm
1418,1998,47.716,1184071.0,8.5100002
1419,1999,48.006,1206474.0,8.8199997
1420,2000,50.121,1230849.0,8.4899998
1421,2001,50.445,1257380.0,7.3499999
1422,2002,50.986,1285678.0,6.4200001
1423,2003,51.405,1315653.0,7.6799998
1424,2004,52.15,1347009.0,7.73
1425,2005,52.249,1379713.0,7.96
1426,2006,53.371,1414091.0,8.29
1427,2007,54.155,1450572.0,7.6399999
1428,2008,54.646,1488431.0,7.7600002
1429,2009,55.541,1527196.0,9.3199997
1430,2010,56.23,1567220.0,9.0600004
1431,2011,56.967,1609017.0,8.0200005
1432,2012,57.69,1652717.0,7.8099999
1433,2013,58.232,1697753.0,7.9699998
1434,2014,58.61,1743309.0,8.3900003
1435,2015,59.128,1788919.0,8.0600004
1436,2016,59.674,1834552.0,7.4099998
1437,2017,60.066,1879826.0,7.5300002
1438,2018,60.502,1924955.0,7.1500001
