year,life_exp,population,pm
1998,77.8390243902439,10720509.0,14.69
1999,77.9878048780488,10761698.0,13.46
2000,77.8878048780488,10805808.0,14.93
2001,78.3878048780488,10862132.0,14.33
2002,78.6414634146341,10902022.0,15.11
2003,78.8414634146341,10928070.0,16.280001
2004,79.0390243902439,10955141.0,13.28
2005,79.2390243902439,10987314.0,14.91
2006,79.4390243902439,11020362.0,15.78
2007,79.4390243902439,11048473.0,16.17
2008,79.9390243902439,11077841.0,14.22
2009,80.1878048780488,11107017.0,12.95
2010,80.3878048780488,11121341.0,9.9499998
2011,80.7317073170732,11104899.0,15.85
2012,80.6341463414634,11045011.0,14.27
2013,81.2853658536585,10965211.0,10.75
2014,81.3853658536585,10892413.0,11.2
2015,81.0365853658537,10820883.0,12.01
2016,81.3878048780488,10775971.0,11.29
2017,81.2878048780488,10754679.0,11.62
2018,81.7878048780488,10732882.0,10.89
