year,life_exp,population,pm
1998,66.114,11046215.0,26.879999
1999,66.869,11311078.0,20.469999
2000,67.446,11589761.0,27.870001
2001,67.946,11871565.0,25.26
2002,68.386,12147518.0,24.67
2003,68.797,12415334.0,29.91
2004,69.165,12682108.0,23.040001
2005,69.168,12948292.0,29.82
2006,69.812,13213330.0,25.950001
2007,70.1,13477017.0,27.17
2008,70.356,13739299.0,25.950001
2009,70.641,14000190.0,27.129999
2010,70.878,14259687.0,26.98
2011,71.177,14521515.0,28.01
2012,71.463,14781942.0,27.23
2013,71.728,15043981.0,28.57
2014,71.964,15306316.0,26.57
2015,72.103,15567419.0,25.790001
2016,72.355,15827690.0,27.02
2017,72.551,16087418.0,26.91
2018,72.726,16346950.0,24.610001
