,country,year,life_exp,population,pm
2343,MDA,1998,65.505,2935227.0,18.709999
2344,MDA,1999,65.561,2930622.0,17.99
2345,MDA,2000,66.417,2924668.0,15.64
2346,MDA,2001,66.787,2918135.0,18.02
2347,MDA,2002,66.938,2911385.0,19.6
2348,MDA,2003,67.419,2903198.0,16.93
2349,MDA,2004,67.861,2896023.0,17.030001
2350,MDA,2005,68.169,2888985.0,17.530001
2351,MDA,2006,68.479,2880967.0,18.65
2352,MDA,2007,68.947,2874299.0,15.13
2353,MDA,2008,69.394,2868833.0,14.7
2354,MDA,2009,69.573,2865213.0,15.57
2355,MDA,2010,69.357,2862354.0,14.4
2356,MDA,2011,69.192,2860699.0,16.629999
2357,MDA,2012,69.143,2860324.0,17.42
2358,MDA,2013,69.099,2859558.0,15.57
2359,MDA,2014,69.031,2857815.0,15.79
2360,MDA,2015,69.24,2835978.0,14.74
2361,MDA,2016,69.917,2803186.0,14.71
2362,MDA,2017,70.516,2755189.0,16.92
2363,MDA,2018,70.492,2707203.0,14.21
