,year,life_exp,population,pm
2406,1998,72.845,94767284.0,18.559999
2407,1999,73.225,96334810.0,14.46
2408,2000,73.569,97873442.0,17.799999
2409,2001,73.867,99394288.0,17.85
2410,2002,74.106,100917081.0,17.91
2411,2003,74.274,102429341.0,18.870001
2412,2004,74.372,103945813.0,17.209999
2413,2005,74.376,105442402.0,18.5
2414,2006,74.331,106886790.0,17.379999
2415,2007,74.238,108302973.0,17.129999
2416,2008,74.152,109684489.0,16.559999
2417,2009,74.119,111049428.0,16.34
2418,2010,74.19,112532401.0,15.45
2419,2011,74.365,114150481.0,17.299999
2420,2012,74.574,115755909.0,16.540001
2421,2013,74.739,117290686.0,17.379999
2422,2014,74.797,118755887.0,15.79
2423,2015,74.682,120149897.0,16.620001
2424,2016,74.412,121519221.0,16.15
2425,2017,74.138,122839258.0,16.6
2426,2018,74.015,124013861.0,15.42
