year,life_exp,population,pm
1998,65.209,4974552.0,14.3
1999,67.12,5049878.0,11.45
2000,67.234,5123222.0,10.78
2001,67.215,5192764.0,12.19
2002,67.18,5259006.0,11.86
2003,67.217,5323062.0,13.91
2004,67.423,5386223.0,12.05
2005,67.936,5454678.0,15.52
2006,68.725,5529811.0,12.34
2007,69.559,5607453.0,13.53
2008,70.586,5687744.0,12.79
2009,71.433,5770639.0,10.78
2010,72.009,5855734.0,14.49
2011,72.416,5942553.0,13.39
2012,72.615,6030607.0,11.52
2013,72.704,6119379.0,12.83
2014,72.812,6208676.0,10.52
2015,72.983,6298598.0,10.32
2016,73.256,6389235.0,12.26
2017,73.554,6480532.0,12.94
2018,73.85,6572233.0,10.69
