year,life_exp,population,pm
1998,73.279,2885177.0,7.3499999
1999,73.622,2943120.0,5.6500001
2000,74.001,3001731.0,5.8200002
2001,74.414,3061024.0,7.29
2002,74.824,3120990.0,6.27
2003,75.218,3181608.0,7.7399998
2004,75.544,3243311.0,6.4200001
2005,75.829,3305868.0,7.8200002
2006,76.012,3368573.0,7.48
2007,76.154,3431614.0,7.4200001
2008,76.225,3495276.0,7.1100001
2009,76.343,3559343.0,7.3099999
2010,76.448,3623617.0,9.1999998
2011,76.627,3688674.0,8.6800003
2012,76.819,3754862.0,8.3599997
2013,77.038,3821556.0,7.9499998
2014,77.248,3888793.0,7.9000001
2015,77.468,3957099.0,7.6399999
2016,77.653,4026336.0,8.46
2017,77.795,4096063.0,8.5
2018,77.863,4165255.0,7.5500002
