,year,life_exp,population,pm
2891,1998,73.279,2885177.0,7.3499999
2892,1999,73.622,2943120.0,5.6500001
2893,2000,74.001,3001731.0,5.8200002
2894,2001,74.414,3061024.0,7.29
2895,2002,74.824,3120990.0,6.27
2896,2003,75.218,3181608.0,7.7399998
2897,2004,75.544,3243311.0,6.4200001
2898,2005,75.829,3305868.0,7.8200002
2899,2006,76.012,3368573.0,7.48
2900,2007,76.154,3431614.0,7.4200001
2901,2008,76.225,3495276.0,7.1100001
2902,2009,76.343,3559343.0,7.3099999
2903,2010,76.448,3623617.0,9.1999998
2904,2011,76.627,3688674.0,8.6800003
2905,2012,76.819,3754862.0,8.3599997
2906,2013,77.038,3821556.0,7.9499998
2907,2014,77.248,3888793.0,7.9000001
2908,2015,77.468,3957099.0,7.6399999
2909,2016,77.653,4026336.0,8.46
2910,2017,77.795,4096063.0,8.5
2911,2018,77.863,4165255.0,7.5500002
