year,life_exp,population,pm
1998,70.632,2776568.0,10.33
1999,70.855,2848431.0,10.86
2000,70.388,2922153.0,13.16
2001,69.887,2997784.0,12.33
2002,70.969,3075373.0,10.89
2003,71.053,3154969.0,10.67
2004,71.182,3236626.0,10.16
2005,72.067,3320396.0,10.37
2006,71.915,3406334.0,11.17
2007,72.153,3494496.0,11.01
2008,72.413,3591977.0,10.72
2009,72.608,3689099.0,11.36
2010,73.004,3786161.0,11.08
2011,73.243,3882986.0,12.09
2012,73.466,3979998.0,13.31
2013,74.029,4076708.0,11.25
2014,72.622,4173398.0,10.4
2015,74.406,4270092.0,12.71
2016,74.554,4367088.0,10.66
2017,74.833,4454805.0,12.15
2018,74.793,4569087.0,11.8
