year,life_exp,population,pm
1998,74.809,580997.0,20.42
1999,74.8,613302.0,20.139999
2000,74.828,645937.0,22.870001
2001,75.263,678831.0,19.719999
2002,75.412,713186.0,23.040001
2003,75.565,748525.0,19.16
2004,75.961,777943.0,19.219999
2005,76.064,848710.0,19.92
2006,76.57,1015060.0,23.4
2007,77.016,1231893.0,22.860001
2008,77.427,1444277.0,24.75
2009,77.878,1610274.0,27.129999
2010,78.425,1713504.0,29.34
2011,78.891,1804171.0,27.889999
2012,79.227,1905660.0,29.870001
2013,79.536,2035501.0,27.879999
2014,79.768,2214465.0,29.209999
2015,80.064,2414573.0,29.120001
2016,80.433,2595166.0,30.4
2017,80.717,2711755.0,33.75
2018,80.898,2766732.0,30.879999
