,country,year,life_exp,population,pm
3124,QAT,1998,74.809,580997.0,20.42
3125,QAT,1999,74.8,613302.0,20.139999
3126,QAT,2000,74.828,645937.0,22.870001
3127,QAT,2001,75.263,678831.0,19.719999
3128,QAT,2002,75.412,713186.0,23.040001
3129,QAT,2003,75.565,748525.0,19.16
3130,QAT,2004,75.961,777943.0,19.219999
3131,QAT,2005,76.064,848710.0,19.92
3132,QAT,2006,76.57,1015060.0,23.4
3133,QAT,2007,77.016,1231893.0,22.860001
3134,QAT,2008,77.427,1444277.0,24.75
3135,QAT,2009,77.878,1610274.0,27.129999
3136,QAT,2010,78.425,1713504.0,29.34
3137,QAT,2011,78.891,1804171.0,27.889999
3138,QAT,2012,79.227,1905660.0,29.870001
3139,QAT,2013,79.536,2035501.0,27.879999
3140,QAT,2014,79.768,2214465.0,29.209999
3141,QAT,2015,80.064,2414573.0,29.120001
3142,QAT,2016,80.433,2595166.0,30.4
3143,QAT,2017,80.717,2711755.0,33.75
3144,QAT,2018,80.898,2766732.0,30.879999
