,year,life_exp,population,pm
3250,1998,56.418,9261526.0,5.2399998
3251,1999,56.609,9478564.0,5.5900002
3252,2000,56.943,9704287.0,5.1500001
3253,2001,57.564,9938027.0,4.3699999
3254,2002,58.231,10180950.0,3.96
3255,2003,59.122,10434504.0,4.8200002
3256,2004,60.027,10698691.0,4.4400001
3257,2005,60.915,10974057.0,4.77
3258,2006,61.75,11263387.0,5.0300002
3259,2007,62.543,11563869.0,4.7399998
3260,2008,63.242,11872929.0,4.9200001
3261,2009,63.923,12195029.0,5.2399998
3262,2010,64.615,12530121.0,5.6399999
3263,2011,65.262,12875880.0,4.9899998
3264,2012,65.457,13231833.0,5.2399998
3265,2013,66.072,13595566.0,4.96
3266,2014,66.452,13970308.0,4.8699999
3267,2015,66.879,14356181.0,5.4499998
3268,2016,67.497,14751356.0,4.79
3269,2017,67.75,15157793.0,5.0
3270,2018,68.097,15574909.0,4.4699998
