,year,life_exp,population,pm
3437,1998,72.5512195121951,5390516.0,23.09
3438,1999,72.9024390243902,5396020.0,23.01
3439,2000,73.0512195121951,5388720.0,20.41
3440,2001,73.4024390243903,5378867.0,22.719999
3441,2002,73.6048780487805,5376912.0,23.290001
3442,2003,73.6048780487805,5373374.0,23.610001
3443,2004,73.9585365853659,5372280.0,20.6
3444,2005,73.9048780487805,5372807.0,22.309999
3445,2006,74.2048780487805,5373054.0,23.040001
3446,2007,74.2073170731707,5374622.0,17.1
3447,2008,74.7048780487805,5379233.0,16.940001
3448,2009,74.909756097561,5386406.0,19.32
3449,2010,75.1121951219512,5391428.0,20.540001
3450,2011,75.9585365853659,5398384.0,21.74
3451,2012,76.109756097561,5407579.0,18.780001
3452,2013,76.4121951219512,5413393.0,18.559999
3453,2014,76.8121951219512,5418649.0,16.67
3454,2015,76.5634146341463,5423801.0,17.35
3455,2016,77.1658536585366,5430798.0,15.99
3456,2017,77.1658536585366,5439232.0,17.030001
3457,2018,77.2658536585366,5446771.0,15.88
