year,life_exp,population,pm
1998,54.199,4728297.0,14.1
1999,54.538,4867941.0,14.01
2000,54.742,5008035.0,16.370001
2001,54.86,5145426.0,16.24
2002,55.311,5281538.0,15.27
2003,55.639,5421001.0,16.25
2004,55.569,5565218.0,16.950001
2005,55.962,5711597.0,17.6
2006,56.222,5874240.0,16.17
2007,56.511,6047537.0,16.799999
2008,56.695,6222482.0,17.52
2009,57.011,6398624.0,17.0
2010,57.304,6571855.0,16.610001
2011,57.925,6748672.0,16.08
2012,58.073,6926635.0,14.37
2013,58.684,7106229.0,13.63
2014,58.853,7288383.0,13.93
2015,59.396,7473229.0,14.55
2016,59.55,7661354.0,15.36
2017,60.154,7852795.0,15.72
2018,60.244,8046679.0,15.03
