,country,year,life_exp,population,pm
3717,TON,1998,68.642,101343.0,0.58999997
3718,TON,1999,68.809,101982.0,0.89999998
3719,TON,2000,68.978,102603.0,1.1
3720,TON,2001,69.127,103210.0,0.88
3721,TON,2002,69.335,103804.0,0.94999999
3722,TON,2003,69.495,104410.0,0.79000002
3723,TON,2004,69.67,105036.0,1.17
3724,TON,2005,69.768,105633.0,1.0700001
3725,TON,2006,69.894,106190.0,1.0
3726,TON,2007,70.048,106638.0,0.85000002
3727,TON,2008,70.164,106932.0,1.88
3728,TON,2009,70.012,107144.0,1.0
3729,TON,2010,70.323,107383.0,0.88999999
3730,TON,2011,70.381,107611.0,0.95999998
3731,TON,2012,70.442,107502.0,0.93000001
3732,TON,2013,70.505,107089.0,1.0599999
3733,TON,2014,70.54,106626.0,0.92000002
3734,TON,2015,70.607,106122.0,0.88
3735,TON,2016,70.661,105707.0,0.94999999
3736,TON,2017,70.713,105415.0,1.1799999
3737,TON,2018,70.779,105150.0,1.13
