,year,life_exp,population,pm
3780,1998,71.039,62242204.0,19.48
3781,1999,70.695,63185615.0,18.940001
3782,2000,71.861,64113547.0,20.6
3783,2001,72.231,65072018.0,19.67
3784,2002,72.579,65988663.0,20.08
3785,2003,72.89,66867327.0,19.610001
3786,2004,73.24,67785075.0,17.309999
3787,2005,73.534,68704715.0,18.51
3788,2006,73.845,69601333.0,19.870001
3789,2007,74.193,70468869.0,19.66
3790,2008,74.45,71320726.0,17.700001
3791,2009,74.765,72225639.0,20.15
3792,2010,75.069,73195345.0,17.200001
3793,2011,74.941,74173854.0,22.610001
3794,2012,75.678,75277439.0,24.049999
3795,2013,76.297,76576117.0,21.83
3796,2014,76.565,78112073.0,22.370001
3797,2015,76.646,79646178.0,23.129999
3798,2016,76.66,81019394.0,20.73
3799,2017,77.141,82089826.0,22.559999
3800,2018,77.563,82809304.0,21.15
