,year,life_exp,population,pm
3843,1998,47.175,22537658.0,21.49
3844,1999,47.786,23279247.0,15.91
3845,2000,48.342,24020697.0,24.16
3846,2001,49.006,24763325.0,30.26
3847,2002,49.648,25545090.0,25.969999
3848,2003,50.368,26354736.0,23.809999
3849,2004,51.547,27146084.0,26.18
3850,2005,52.976,27946588.0,26.940001
3851,2006,54.369,28773227.0,24.540001
3852,2007,55.236,29629804.0,30.02
3853,2008,55.823,30509862.0,27.17
3854,2009,56.488,31412520.0,25.35
3855,2010,57.055,32341728.0,27.9
3856,2011,57.965,33295738.0,29.360001
3857,2012,58.817,34273295.0,28.459999
3858,2013,59.763,35273570.0,29.719999
3859,2014,60.408,36336539.0,26.049999
3860,2015,61.086,37477356.0,27.110001
3861,2016,61.648,38748299.0,26.530001
3862,2017,62.115,40127085.0,22.700001
3863,2018,62.714,41515395.0,23.68
