,year,life_exp,population,pm
3927,1998,71.097,114165.0,1.98
3928,1999,71.3,113995.0,2.54
3929,2000,71.377,113813.0,2.1600001
3930,2001,71.938,113641.0,2.5
3931,2002,72.168,113450.0,2.0899999
3932,2003,72.352,113108.0,2.25
3933,2004,73.035,112608.0,2.1400001
3934,2005,73.516,112043.0,2.4400001
3935,2006,74.017,111427.0,2.1500001
3936,2007,74.703,110824.0,2.1400001
3937,2008,75.053,110316.0,2.1800001
3938,2009,75.083,109840.0,2.3599999
3939,2010,74.718,109308.0,3.1700001
3940,2011,74.596,108703.0,2.1700001
3941,2012,74.146,108083.0,2.3299999
3942,2013,73.798,107450.0,1.9400001
3943,2014,74.473,106912.0,1.83
3944,2015,74.407,106482.0,2.0899999
3945,2016,74.28,105963.0,2.3399999
3946,2017,74.305,105549.0,2.4400001
3947,2018,74.128,105281.0,2.01
