,country,year,life_exp,population,pm
4095,ZMB,1998,44.701,9372430.0,15.89
4096,ZMB,1999,44.659,9621238.0,13.67
4097,ZMB,2000,45.231,9891136.0,16.639999
4098,ZMB,2001,46.019,10191964.0,24.370001
4099,ZMB,2002,46.979,10508294.0,21.639999
4100,ZMB,2003,48.284,10837973.0,21.48
4101,ZMB,2004,49.487,11188040.0,19.41
4102,ZMB,2005,50.659,11564870.0,21.889999
4103,ZMB,2006,51.795,11971567.0,19.84
4104,ZMB,2007,52.739,12402073.0,23.059999
4105,ZMB,2008,53.945,12852966.0,22.07
4106,ZMB,2009,55.3,13318087.0,21.209999
4107,ZMB,2010,56.799,13792086.0,23.120001
4108,ZMB,2011,57.771,14265814.0,20.200001
4109,ZMB,2012,58.867,14744658.0,21.530001
4110,ZMB,2013,59.878,15234976.0,20.18
4111,ZMB,2014,60.699,15737793.0,19.65
4112,ZMB,2015,61.208,16248230.0,21.620001
4113,ZMB,2016,61.794,16767761.0,20.23
4114,ZMB,2017,62.12,17298054.0,18.92
4115,ZMB,2018,62.342,17835893.0,19.35
